地名名稱,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名類型,地名意義,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,地圖座標(橫坐標),地圖座標(縱坐標),地名年代時間(起),地名年代時間(迄),漢語拼音,通用拼音
第六公墓,,新竹縣,新豐鄉,"重興村,",喪葬事業,167,國語,,,,,,120.99133045013,24.898706976943,,迄今,"NO.6 Cemetery","NO.6 Cemetery"
田洋,上田洋,新竹縣,芎林鄉,"上山村,",平原地名,此處為油羅溪沖積平原區，地勢平坦，稻田縱橫其間，故而名之；又因位於水圳上方，故稱上田洋。,客語【海陸腔】,,,,此地在今縣農會及果菜市場一帶，屬上山村十鄰，向由徐屋耕佃之地,,121.07210059889,24.786351982436,清代,迄今,Tianyang,Tianyang
下田洋,,新竹縣,芎林鄉,"上山村,",平原地名,此處為油羅溪沖積平原區，地勢平坦，稻田廣闊，因此得名；又因位於水圳下方，故稱下田洋。,客語【海陸腔】,,,,上、下田洋，大致是以果菜市場邊，通往關東橋的道路為界；包括下山那邊的田，都叫下田洋。,,121.06856168647,24.78972447187,清代,迄今,Xiatianyang,Siatianyang
崁下,,新竹縣,芎林鄉,"上山村,",小地形名稱,此地位於飛鳳山丘陵西麓的山崖下，為九芎林台地下方的沖積平原，而得名。,客語【海陸腔】,,,位於上山村西北部，油羅溪沖積平原東側；清光緒年間，築有下山圳及五座屋圳後，成為芎林鄉的主要水稻產區。自120縣道建成後，此地漸有發展成聚落的趨勢。,以前只有幾戶人家，這幾年因為北二高交流道與120縣道建成，道路兩邊住戶漸漸增加，十年前路邊的土地，一坪喊到將近十萬元。,,121.06715856643,24.782415220943,清代,迄今,Kanxia,Kansia
陂塘窩,,新竹縣,芎林鄉,"上山村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；此處意指築有灌溉陂塘之山窩,客語【海陸腔】,,,,此地由下山村一鄰陂塘窩口進入，以前築有五座灌溉用大陂塘；因為陂塘多，所以叫做陂塘窩。。,,121.0767089425,24.794218212093,清代,迄今,Pitangwo,Pitangwo
打磚窩,,新竹縣,芎林鄉,"上山村,",小地形名稱,客語中，窩，是指三面環山一面開口的坑谷地形；此地因為早期設有幾家製造磚瓦的磚窯工廠而得名,客語【海陸腔】,,,,衛生所旁，往新埔那條路進去，就是打磚窩；現在大部分已經成為芎林鄉第四公墓。,,121.07968835735,24.785493896158,清代,迄今,Dazhuanwo,Dajhuanwo
柑園岡,,新竹縣,芎林鄉,"上山村,",農產畜牧業地名,種植柑橘的地方，客家人稱為柑園；此地是位於高岡上的柑橘園，所以稱為柑園岡。,客語【海陸腔】,,,,此地位於上山村、水坑村和龍潭鄉的交界處，也就是大矽谷名人山莊的山背，今已成為芎林第五公墓。,,121.08489774661,24.790974742598,清代,迄今,Ganyuangang,Ganyuangang
五座屋,,新竹縣,芎林鄉,"下山村,",鄉村型聚居地地名,因此地初期移民只有五戶，建有房屋五座，所構成的小聚落，故而名之；此地的閩籍人士則稱此地為五塊厝。,客語【海陸腔】,,,五座屋莊得名很早；《淡水廳誌》〈卷三：街里〉記載「城外東廂二十五莊」，已有「五塊厝莊」之名，「距城十五里」。《新竹縣採訪冊》「竹塹堡東廂六十四莊」內，也有「五座屋莊」之名，「在縣東十五里，戶九，丁口五十五」（p.71-73）。,今屬五鄰、九鄰、十鄰一帶，當年五座屋建於下山村活動中心附近，大約為今日文山路1188號至1246號。,《淡水廳誌》〈卷三〉、《新竹縣採訪冊》,121.06311673465,24.791495354178,清代,迄今,Wuzuowu,Wuzuowu
下山,,新竹縣,芎林鄉,"下山村,",小地形名稱,意指位在九芎林下方丘陵台地上的倚山聚落。客語中「下」是「上」的對稱，往往用於溪流的上下游，或指地形的高低、山勢的內外等。,客語【海陸腔】,,,本村形成聚落的時期，應該早於上山村，初稱「員山仔溪北犁頭山隘邊草地」，清乾隆55年（1790）已有「九芎林下山之名」；光緒20年《新竹縣採訪冊》「竹塹堡東廂六十四莊」內，稱為「九芎林下山莊」，「在縣東十六里，戶五十七，丁口三百一十一」（p.71-73）。,,新竹縣採訪冊、台灣舊地名之沿革（二）,121.07145542112,24.796593342126,清代,迄今,Xiashan,Siashan
月桃窩,,新竹縣,芎林鄉,"下山村,",小地形名稱,客語中，窩，是指三面環山一面開口的坑谷地形；此地意指月桃生長茂盛的坑谷。,客語【海陸腔】,,,"月桃為薑科(Zingiberaceae)植物，或稱玉桃、良恙、虎子花，分布全省。 每年五至七月開花，朔果約在十月間成熟，屬於多年生常綠草本植物，根莖肥大，葉披針形，民間常利用來包粽子。夏日開花，白色，唇瓣鮮黃色，具香味。",今屬下山村第八鄰，為水坑子內面的一處小山坑。從前此地滿山都是月桃，附近居民都到此地取月桃打繩子；採月桃葉做菜包。,,121.05911573328,24.812826873974,清代,迄今,Yuetaowo,Yuetaowo
水坑子,,新竹縣,芎林鄉,"下山村,",河流地名,意指水源充沛的小溪谷。地名後面加「子」或「仔」，在客語中含有「小」的意思。,客語【海陸腔】,,,,此處活泉很多，挖井的時候，隨便一挖就有水。今屬下山村七、八鄰一帶；為竹北通往新埔的古道之一。,,121.06390207677,24.810643038382,清代,迄今,Shuikengzi,Shueikengzih
石壁潭,,新竹縣,芎林鄉,"石潭村,",湖泊地名,因油羅溪流經該處時，側蝕北岸山麓以及坑谷下切作用形成岩崖，岩崖下方積水甚深形成深潭，十分壯觀，因此得名。,客語【海陸腔】,,,今新竹縣芎林鄉石潭村。前臨油羅溪側蝕造成之崖面及坑谷之下切作用，使臺地礫層下露出之岩崖，其前臨溪坑深水處，按潭即積水甚深者，地名即因岩崖下有深潭之地故以名。境內山坡上多茶園及柑桔、水梨園，坑谷及臨溪山麓平坦地多稻田，客籍居民佔九十九%。,竹林大橋橋頭一帶屬之。主要聚落沿120縣道成線型分布，區內有一所「碧潭國小」。,臺灣舊地名之沿革，p.211，洪敏麟著,121.10232121817,24.748085693696,清代,迄今,"Shibi Pond","Shihbi Pond"
葉厝,葉屋,新竹縣,芎林鄉,"石潭村,",鄉村型聚居地地名,葉姓人家宅第所在。,客語【海陸腔】,,,,位於「下窩子」境內，屬石潭村第三鄰，當地人稱為「葉屋」，現仍有葉姓人家居此。一般地圖上標的「葉厝」，可能誤植。,,121.09821625408,24.756669002425,清代,迄今,Yecuo,Yecuo
燥坑,,新竹縣,芎林鄉,"新鳳村,",山脈地名,意指上游缺乏水源，以致水量不足，乾季常呈乾涸狀態的溪谷。,客語【海陸腔】,,,,,,121.09326285131,24.761848677405,清代,迄今,Zaokeng,Zaokeng
五股林,,新竹縣,芎林鄉,"新鳳村,",丘陵,意指先民集資開墾林地時，所湊集的股份共有五股，因此得名。,客語【海陸腔】,,,五股林與東南方之十股林（在永興村）同因開墾林地時之股份而名。五股林莊得名很早；《淡水廳誌》〈卷三：街里〉記載「城外東廂二十五莊」，已有「五股林莊」之名，「距城二十三里」；《新竹縣採訪冊》「竹塹堡東廂六十四莊」內，也有「五股林莊」之名，「在縣東二十三里，戶六，丁口三十七」（p.71-73）只是一個小聚落而已。,,淡水廳誌、新竹縣採訪冊、臺灣舊地名之沿革（二）,121.08713034863,24.769857681468,清代,迄今,Wugulin,Wugulin
倒別牛,倒縛牛,新竹縣,芎林鄉,"新鳳村,",其他,前往此地必須向右邊轉個大彎，而且右邊靠山，地勢較高，轉彎時看不到前面的路，所以牛車走到這裡，就要用左手的牛索拍打牛身，讓牛偏向右邊。這種用牛索拍打牛身的動作，叫做『倒撇牛』。,,,,倒別牛名稱之由來，據楊鏡汀先生調查：「倒別牛有三種寫法，一是倒縛牛，二是到別牛（樹杞林志），三是倒別牛（現今用法）。倒縛是倒綁的意思。其實『倒別』是『倒撇』的諧音，可能是後人寫錯了，後來有倒別牛與到別牛兩種寫法。」至於「倒撇」究竟是指何意？楊先生說：「如果牛走的方向偏右，就要向左拉繩索；若是偏左，就要用左手的牛索拍打牛身，牛就會偏向右方。這種用牛索拍打牛身的動作，稱為『倒撇』。」故而名之。由此可知，此名稱之由來，與地形和農人趕牛有關。,前往倒別牛必須向右邊轉個大彎，而且右邊靠山，地勢較高，轉彎時看不到前面的路，所以牛車走到這裡，就要用左手的牛索拍打牛身，讓牛偏向右邊，所以叫做『倒撇牛』。現屬新鳳村1-3鄰，此地的老家族，目前有邱屋、鍾屋、田屋居住在此。,新竹縣舊地名探源、芎林鄉志初稿（一）,121.09568184053,24.770349900689,清代,迄今,Daobieniu,Daobieniou
柯子林,,新竹縣,芎林鄉,"文林村,",952,初墾時，此地為柯子樹叢生之地，因此得名；柯樹，土名水流柯，為先鋒植物之一種。,客語【海陸腔】,,,柯樹為榖斗科大喬木，別稱長尾柯，長尾尖錐栗，土名水流柯，為先鋒植物之一種，材質堅硬，可做斧柄、刀柄、建築材料。此地位在油羅溪沖積平原的東緣，飛鳳山丘陵西麓；初墾時，為柯樹繁茂之地，所以墾成後，仍以之為地名。,柯樹，土名水流柯，為先鋒植物之一種，樹身乾燥後，很堅硬，從前都取來做刀柄、斧頭柄。,臺灣木本植物圖誌、臺灣舊地名沿革（二）,121.08136384403,24.766716169808,清代,迄今,Kezilin,Kezihlin
高?頭,,新竹縣,芎林鄉,"文林村,",水利工程地名,先民在此架設水?橋供圳水通過，因為坑谷很高，所以稱為高?；又因為位在水?橋頭，故稱高?頭。,客語【海陸腔】,,,高?圳又稱五股林圳，清乾隆54年姜勝智、劉承豪等十六人開濬；在石壁潭引水，沿山西北行，至五股林庄前瀦水為陂，又西行一里餘鑿山一丈六尺引水出，又行一里過?十八丈，?自坑底架木撐柱，高三丈二尺故名「高?」。,從前高?頭一帶水田，缺乏灌溉用水，須從五股林築陂頭引水，圳路行經國小老校門前，被坑谷所阻，先民在此架設水?橋供圳水通過，因為坑谷很高，所以稱為高?；又因為在水?橋頭，故稱高?頭。文林閣四周，包括紙寮窩、芎林國小、國小前，直到鄉公所一帶，以前都屬高?頭的範圍；以高?橋（今呈甘橋）為界。,新竹文獻會通訊第011號,121.08409813539,24.772552080662,清代,迄今,,
紙寮窩,,新竹縣,芎林鄉,"文林村,",工商事業地名,客語中，窩，是指三面環山一面開口的坑谷地形；昔時此處居民，家家戶戶以造紙為業，造紙工寮和紙湖沿著山窩排列，所以得名。,客語【饒平腔】,,,清乾隆年間，先民劉傳老，由饒平渡海來台。入九芎林地區，見有山窩一處，桂竹繁茂，地勢險要，乃請墾此地；建紙寮、開紙湖，經營紙業，店號崇茂；遂名其地曰紙寮窩。（劉興燊，芎林鄉紙寮窩福德祠興建沿革）,水坑與文林村交界處，現在大華技術學院後面，清國時代，據有一窩樁柄賊（強盜），相當凶惡，路過此地的行人，被剿掉很多，所以紙寮窩男性，都要練拳防身。,芎林鄉紙寮窩福德祠興建沿革,121.08204384459,24.780082927375,清代,迄今,Zhiliaowo,Jhihliaowo
水坑,河流,新竹縣,芎林鄉,"水坑村,",山脈地名,坑在客家庄與溪同義，如果用於地名，則泛指溪流所經之谷地。由於水坑為油羅溪的支流，水源豐富，流量大，故稱。,客語【海陸腔】,,,水坑為芎林鄉水坑村的村名，位於芎林街區1.5公里處；屬飛鳳丘陵中的坑谷聚落，為油羅溪的支流之一，水源豐富，流量大，故稱。漢人開墾本地，始於乾隆年間，魏特敬之妻劉氏率四子入墾此地。,水坑與文林村交界處，現在大華技術學院後面，清國時代，據有一窩樁柄賊（強盜），相當凶惡，路過此地的行人，被剿掉很多，所以紙寮窩男性，都要練拳防身。,臺灣舊地名之沿革（二）,121.10181554785,24.785520512587,清代,迄今,Shuikeng,Shueikeng
油茶園,,新竹縣,芎林鄉,"水坑村,",農產畜牧業地名,油茶俗稱苦茶，此地為昔日農民耕作野生油茶的山園，因此得名。,客語【海陸腔】,,,油茶俗稱苦茶，屬山茶科，每年僅開花一次。茶農採下苦茶樹的果實，可供榨油，有潤肺、清肝、解毒、整腸、健胃的功效，為昔時重要的高級食用油。其油渣，俗稱茶姑或茶姑粉，為極佳的清潔劑。因此油茶為昔日重要的經濟作物。,現屬本村四鄰，雜貨店屋背的山丘，就是以前的油茶園。,苗栗縣南莊鄉網站,121.09912185709,24.782701209417,清代,迄今,Youchayuan,Youchayuan
華興,,新竹縣,芎林鄉,"水坑村,",,新竹客運站站名，意義不詳。,客語【海陸腔】,,,,站牌是這幾年才設立，從來也不曾來問過我們，本地人除了上下車之外，沒有人管他為什麼叫那樣？,,121.09211107689,24.776799196864,清代,迄今,Huaxing,Huasing
中坑,,新竹縣,芎林鄉,"中坑村,",河流地名,坑在客家庄與溪同義，如果用於地名，則泛指溪流所經之谷地。因芎林鄉東北方，有油羅溪的支流形成三條坑谷，匯而為一，此一坑谷，正好位在水坑與倒別牛坑的中間，故稱中坑。,客語【海陸腔】,,,今芎林鄉中坑村的舊稱；距芎林街區東方約半公里處，位於飛鳳山丘陵中，油羅溪的一個支流坑谷中；油羅溪的支流形成三條坑谷，在高?頭附近匯而為一，此一坑谷，正好位在水坑與倒別牛坑的中間，故稱中坑。南有中坑，北有赤柯寮兩個沿溪分布的聚落。,中坑現屬1-5鄰；赤柯寮現屬6-10鄰。兩地都不曾聽過其他小地名。,,121.09960552315,24.776304433819,清代,迄今,Zhongkeng,Jhongkeng
赤柯寮,,新竹縣,芎林鄉,"中坑村,",鄉村型聚居地地名,此處為中坑村內的兩個聚落之一，屬中坑聚落北邊的小溪谷，昔日為赤柯樹林繁茂的坑谷，先民在此搭蓋草寮居住而得名。,客語【海陸腔】,,,因此處昔日有赤柯樹遍佈而得名。,中坑現屬1-5鄰；赤柯寮現屬6-10鄰。兩地都不曾聽過其他小地名。,,121.10710236963,24.780868706604,清代,迄今,Chikeliao,Chihkeliao
芎蕉窩,,新竹縣,芎林鄉,"永興村,",山脈地名,意指遍生香蕉的山窩。客語稱香蕉為「芎蕉」。,客語【海陸腔】,,,,現屬永興村2鄰一帶，過去窩內的香蕉，大都為野生蕉。,,121.12762615321,24.760715318071,清代,迄今,Qiongjiaowo,Cyongjiaowo
牛欄窩,,新竹縣,芎林鄉,"永興村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；因為這處山窩內，曾設有養牛的柵欄而得名。,客語【海陸腔】,,,,現屬永興村3鄰。,,121.12220227462,24.761469947716,清代,迄今,Niulanwo,Nioulanwo
牛角窩,,新竹縣,芎林鄉,"永興村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指形似牛角的山窩而得名。,客語【海陸腔】,,,,現屬永興村2鄰，但已無住戶定居。,,121.13059324459,24.754997449038,清代,迄今,Niujiaowo,Nioujiaowo
直窩,,新竹縣,芎林鄉,"永興村,",山脈地名,意指與王爺坑（溪）呈直向排列的山窩。,客語【海陸腔】,,,,從王爺坑（溪）溯溪而上，其支流所形成的山窩，都呈橫向排列，唯獨水源頭呈直向流入王爺坑，因此將水源一帶的山窩，稱為直窩。,,121.131692947,24.759140107701,清代,迄今,Zhiwo,Jhihwo
王爺坑,,新竹縣,芎林鄉,"永興村,",山脈地名,"據傳說往昔文林村紙寮窩之三武宮內所奉祀郭王爺之神像，被人偷走，後來派人在本村一坑谷溪道內發現。遂將該坑谷稱王爺坑。 此地層安置石壁潭庄國王宮王爺聖像，因此得名。",客語【海陸腔】,,,據芎林庄誌記載，道光六年時，石壁潭庄國王宮聖像突被原住民盜取，當小偷逃至王爺坑時，忽然腹痛不已，驚惶莫狀，急將國王聖像請出，在半坑中置放，後眾人恭請至九芎林庄廟宇安位，人康物阜。眾人咸以為王爺顯靈，遂將石壁潭上窩名之為王爺坑。,近年來坑窩內的住戶陸續遷出，有些「窩」事實上已沒有住人。前年納莉颱風，王爺坑破壞最嚴重，一直到現在有些地方都還沒修復。,芎林鄉誌初稿第一冊，莊興惠提供,121.11394762271,24.750294526117,清代,迄今,Wangyekeng,Wangyekeng
上店子,,新竹縣,芎林鄉,"永興村,",,,客語【海陸腔】,,,,,,121.10395463641,24.747073586491,清代,迄今,Shangdianzi,Shangdianzih
王爺坑,,新竹縣,芎林鄉,"永興村,",山脈地名,曾經放置石壁潭庄國王宮王爺聖像的坑谷,客語【海陸腔】,,,道光六年時，石壁潭庄國王宮聖像突被原住民盜取，當小偷逃至王爺坑時，忽然腹痛不已，驚惶莫狀，急將國王聖像請出，在半坑中置放，後眾人恭請至九芎林庄廟宇安位，人康物阜。眾人咸以為王爺顯靈，遂將石壁潭上窩名之為王爺坑。,,芎林庄誌,121.11394762271,24.750294526117,清代,,Wangyekeng,Wangyekeng
船仔窩,,新竹縣,芎林鄉,"永興村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；因窩旁山勢狀似船隻而得名。,客語【海陸腔】,,,今屬永興村第六鄰。,,,121.14030851148,24.740243468211,清代,迄今,Chuanzaiwo,Chuanzaiwo
十股林,,新竹縣,芎林鄉,"永興村,",,當地為「十個人合股開闢之林地」，故名。,客語【海陸腔】,,,十股人（應作「林」）即十個人合股開闢之林地。,今永興村8鄰、9鄰、10鄰均屬之。當地官姓人家為最大姓。,,121.10613627517,24.743651032377,清代,迄今,Shigulin,Shihgulin
秀湖,山豬湖,新竹縣,芎林鄉,"秀湖村,",盆地地名,,客語【海陸腔】,,,,,,121.11753292757,24.734673813513,清代,迄今,Xiuhu,Siouhu
山豬湖,,新竹縣,芎林鄉,"秀湖村,",盆地地名,「湖」即指山間小盆地而言。又因此地往昔多山豬棲息之地，故名。,客語【海陸腔】,,,今新竹縣芎林鄉秀湖村。在芎林鄉之最南一村。在頭前溪上源，油羅溪寬闊河谷平原中，海拔一二O至一四O公尺間。「湖」即指山間小盆地而言。又因此地往昔多山豬棲息之地，故名。,以前稱為「山豬湖」的位置在現在的秀湖派出所附近。,臺灣舊地名之沿革，p.210，洪敏麟著,121.11753292757,24.734673813513,清代,迄今,"Shanzhu Lake","Shanjhu Lake"
雞寮坑(應作:?寮坑),,新竹縣,芎林鄉,"華龍村,",山脈地名,"坑在客家庄與溪同義,用在地名上係指整個溪岸的谷地,此底地早期設有燒製?油的工寮,故稱「?寮坑」,後來有人因為諧音之誤,印製地圖時,寫成「雞寮坑」,以致以訛傳訛至今",客語海陸腔,,,,"雞寮坑應是?寮坑之誤,?的客語發音接近<雞>,是一種以嫩竹或野生蕉,芭蕉等含鹼植物,燒灰提煉出來的油,叫做<?油>,此地早期因設有燒製?油的工寮,因此得名",,121.14332097099,24.755688801712,清代,迄今,"Jiliaokeng (Yingzuo :★liaokeng )","Jiliaokeng (Yingzuo :★liaokeng )"
鹿寮坑,,新竹縣,芎林鄉,"華龍村,",山脈地名,坑在客家庄與溪同義，如果用於地名，則泛指溪流所經之谷地。鹿寮坑係因先民曾在此建有獵鹿小寮而得名；意指鹿寮溪流經之谷地。,客語【海陸腔】,,,鹿寮坑意指鹿寮溪流經之谷地，為頭前溪水係大肚溪的支流，自東北向西南方向流至五龍村五和宮前匯入大肚溪。此地早期因為多野鹿，先民曾在此建有獵鹿小寮而得名；於1953年四月，才由五龍村劃分成立一村，稱為華龍村，自今仍然泛指五龍、華龍兩村地區為鹿寮坑。,,台灣省新竹縣志、楊鏡汀「新竹縣舊地名探源」,121.137901089,24.746037826718,清代,迄今,Luliaokeng,Luliaokeng
老茶亭,,新竹縣,芎林鄉,"華龍村,",名勝古蹟,此地早期建有涼亭，由善心人士每天定時提供茶水，供來往行人或挑夫，歇腳休憩而得名；後因他處建有新茶亭，遂稱此茶亭為老茶亭。茶亭旁原有石碑誌記，現已遺失。,客語【海陸腔】,,,,老茶亭位在芎林鄉與橫山鄉、關西鎮交界處，現屬芎林鄉華龍村一鄰；茶亭內設有陶甕，由善心人士每天定時提供茶水，供來往行人或挑夫，歇腳休憩。茶亭旁原有石碑誌記，現已遺失。,,121.14732224175,24.75395185782,清代,迄今,"Laocha Tin","Laocha Tin"
茄苳窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,意指長有茄苳樹的山窩。,客語【海陸腔】,,,,此地位於華龍村9鄰。早時因為長有老茄苳樹好幾棵所以得名。,,121.13301858946,24.743711764816,清代,迄今,Jiadongwo,Jiadongwo
宋屋窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,此處山窩，因有宋姓家族最先在此定居，故而得名。,客語【海陸腔】,,,,宋屋窩在金華龍村10鄰，但此地的宋姓家族大都已經遷往他處，目前僅存一戶仍居住此地。,,121.13090575848,24.736817768953,清代,迄今,Songwuwo,Songwuwo
安屋窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,經過訪談調查，此地應為「宋屋」的筆誤。,客語【海陸腔】,,,,經過訪談調查，無人知道這個地名，應該是「宋屋窩」的筆誤。,,121.13730134236,24.732983304301,清代,迄今,Anwuwo,Anwuwo
灶桶窩（做桶窩）,鄒屋窩,新竹縣,芎林鄉,"芎林村,",山脈地名,以前此處居民以製做木桶為業，客語的「灶」與「做」同音，「灶桶」應該是「做桶」之誤。,客語【海陸腔】,,,,此地為鄒洪上將的故居所在，所以晚近有人又稱此地為「鄒屋窩」。,,121.14432963951,24.746022747541,清代,迄今,"Zaotongwo (Zuotongwo )","Zaotongwo (Zuotongwo )"
擔子窩（應作：擔水窩）,五家人窩,新竹縣,芎林鄉,"華龍村,",山脈地名,「擔子窩」應訂正為「擔水窩」。客語「擔」水唸作「kaiㄎㄞ‵」水，即「挑水」之意；此地因水源充沛，當地居民常到此處「擔水」，因而得名。,客語【海陸腔】,,,,此地因水源充沛，從來不曾枯竭，過去遇到乾旱時，當地居民都到此處「擔水」，因而得名。,,121.13820407147,24.741942548539,清代,迄今,"Danziwo (Yingzuo：danshuiwo )","Danzihwo (Yingzuo：danshueiwo )"
吳屋窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,意指吳姓人家所居住的山窩。,客語【海陸腔】,,,,當地窩口「新聯一茶廠」旁，有一棵老茄冬樹，樹齡約有200年。原吳家老宅已拆除。,,121.13728891148,24.73968751559,清代,迄今,Wuwuwo,Wuwuwo
山豬窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指常有野山豬出沒的山窩。,客語【海陸腔】,,,,此地位在華龍村4鄰尾，為馬鞍凹附近的小山窩。目前野草叢生，無人居住。,,121.14801979583,24.745756441298,清代,迄今,Shanzhuwo,Shanjhuwo
松樹窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指松樹叢生的山窩。,客語【海陸腔】,,,,此地位在華龍村5鄰，為馬鞍凹附近的小山窩。目前無人居住。,,121.14626417087,24.746029948639,清代,迄今,Songshuwo,Songshuwo
烏龜窩,,新竹縣,芎林鄉,"華龍村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指曾有許多烏龜棲息的山窩。,客語【海陸腔】,,,,此地位在華龍村6鄰，正好與3鄰的河頭窩隔山為界。過去窩內有一處深水潭，烏龜很多而得名。,,121.13709859877,24.747017001466,清代,迄今,Wuguiwo,Wugueiwo
桔子窩,,新竹縣,芎林鄉,"五龍村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指長有很多桔子樹的山窩。此地早期可能長有很多野生酸桔樹而得名；現為五龍村二、三鄰一帶。,客語【海陸腔】,,,,桃、竹、苗客家地區所稱的桔子，一般是指酸桔而言，這是製作酸桔醬的主要原料，果實大者不過乒乓球大小；一般華語所稱的橘子，在客家地區則稱為「柑」，果實較大。,,121.125865182,24.741982885638,清代,迄今,Jieziwo,Jiezihwo
五龍,,新竹縣,芎林鄉,"五龍村,",山脈地名,意指有五座山脊呈南北走向並列的地區。此地因為有五座山勢略呈南北座向排列的山脊而得名。在客家地區，「龍」就是山脈或山脊，山稜則稱為「龍峎頂」或「山龍峎」。,客語【海陸腔】,,,,此地因為有五座山勢略呈南北座向排列的山脊，其「龍頭」正好伸入本區，面向油羅溪，有如五龍食水之狀，所以稱為五龍；清代中葉曾因溪水氾濫，切斷四座「龍頭」，地方上稱為「水打龍頭」。,,121.1217338144,24.736880698687,清代,迄今,Wulong,Wulong
燒炭窩,,新竹縣,芎林鄉,"五龍村,",山脈地名,客語中，窩，是指三面環山一面開口的坑谷地形；意指有居民設置炭窯燒木炭的山窩。,客語【海陸腔】,,,,早期因這處山窩曾有居民設置炭窯燒木炭，所以取此名；現屬五龍村9鄰。,,121.11742127305,24.741354257069,清代,迄今,Shaotanwo,Shaotanwo
石吼子,,新竹縣,芎林鄉,"五龍村,",小地形名稱,意指有石頭洞的地方。客語稱石洞為「石孔」,客語【海陸腔】,,,根據文史學者楊鏡汀先生的調查，此地早期因為有石頭洞而得名，係由客語饒平腔轉換而來，唸做「石孔（ㄎㄨㄥˇ）仔」，後來不知何故寫成「石吼仔」；現屬五龍村10鄰。,現屬五龍村10鄰，由「石吼橋」可進入。因其入口處兩山橫亙交錯，而且甚為狹窄，從外面觀看，好像進入石頭洞穴一般,楊鏡汀「新竹縣舊地名探源」,121.12182618146,24.732360746788,清代,迄今,Shihouzi,Shihhouzih
國王宮,三山國宮,新竹縣,橫山鄉,"新興村,",土泥石屋,"先民遠從唐山飄洋過海到這裡開墾,為了祈求眾庄平安豐收,乃於道光十二年,誠心集資興建一座廟宇,廟成定名「國王宮」,此廟是新竹最北的三山國宮。",客語,廣東人,新興村新興街,"清道光十一年(1831)的秋天,距今160餘年,唐山有個地理師,來到大肚庄作客,行經九讚頭,他發現九讚頭的山脈充滿了「龍氣」,由於當時人非常之迷信,希望能藉著做法把龍氣接引到大肚庄,於是大肚庄眾庄民誠心禮拜、齋戒七日,請來法師前往九讚頭的山頭接引「龍氣」。當法師率領眾人前往接引龍氣,行經九讚頭國王宮現址附近時,晴朗的天空突然烏雲密佈、雷電交加,下起大雨,阻擋眾人前進。當雨停後,法師嘆了一口氣,向眾人說:「龍尾仍然藏山中,龍首至此喚不動,在此興建王爺宮,人才倍出官府中。」","九讚頭國王宮,在民國52年,由信徒決議,發起改建計劃由地方士紳吳土旺、曾娘勝、巫信雲擔任國王宮改建委員的龍頭。在日本時代,國王宮肩負教育,宗教雙重功能,當時九讚頭的漢學學堂,就以國王宮的廂房當教室。",,121.14232808311,24.716423154729,1832,12年,"Guowang Temple","Guowang Temple"
覡婆娘娘,巫婆,新竹縣,橫山鄉,"新興村,",,,,,新興村新興街,"1.傳說在嘉慶年間,一生沒招沒嫁,以助產為樂,幾十年的生命裡,在鬼門關救回了不少的婦女和嬰兒,後在她死後感念她助產有功,將她的香爐掛在現以前是竹圍的竹頭下。經十餘年,庄民集資建座小廟讓她安身,到民國四十年代,九讚及各地的人,都前來參拜求平安,可以說是盛極一時。2.前有個南部人來九讚頭工作,隨身帶來南部覡婆娘娘的香火,至九讚頭尚居無定所,就把香火掛在竹頭下,早晚燒香拜拜,後來人不知去向,把香火遺留,後因顯靈引來大批善男信女的參拜。3.一個有錢人的小姨太遭棄,流浪到了九讚頭因病死亡,村民將她收屍,把香籃掛在竹頭下後來顯靈。","覡婆,生於何時,生前是產婆還是巫婆,查遍新竹縣誌和地方軼文皆無登載,現在只知道在農曆八月初一,覡婆娘娘生日那天,地方信眾會準備酒煮卵前來祭拜。",,121.14325383509,24.715971459709,,迄今,Xiponiangniang,Siponiangniang
水頭屋,水頭屋,新竹縣,橫山鄉,"新興村,",老房屋,大肚圳之水源頭。,客家,廣東人,新興村四鄰,"史事:大肚方面農田、用水全靠河川引用水,所以開墾大圳水,所以最早水源地,故名為水頭屋。產業:全部茶業。交通:日據時代有輕便車至內灣尖石運木材等交通。","現在的人生活比以前不同的,天光在起居,八點才上班做事,出門都坐機車或汽車代步,每戶都有電視可看,有電話可連絡或有卡拉OK可唱,比以前的人享受得多。",,121.14639457323,24.708692140642,清朝時代,,Shuitouwu,Shueitouwu
